Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2019 Honda Cr-v,foreign,40389.0,4-cylinder,3.0,"GH¢ 365,410","Accra, Bawalishi",2019
2020 Honda Accord,foreign,28583.0,4-cylinder,3.0,"GH¢ 326,650","Accra, Bawalishi",2020
2017 Hyundai Elantra,foreign,41631.0,4-cylinder,3.0,"GH¢ 145,090","Accra, Bawalishi",2017
2025 GEELY Starray Sport,new,0.0,4-cylinder,4.9,"GH¢ 404,820","Greater Accra, Airport",2025
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 417,820","Greater Accra, Airport",2025
2018 Toyota RAV 4,foreign,13000.0,4-cylinder,4.4,"GH¢ 350,000","Greater Accra, Airport",2018
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 417,820","Greater Accra, Airport",2025
2019 Toyota RAV 4,foreign,56544.0,4-cylinder,4.0,"GH¢ 357,250","Accra, Bawalishi",2019
2015 Toyota Landcruiser,local,29825.0,8-cylinder,3.4,"GH¢ 900,000","Greater Accra, Airport",2015
2019 Honda CR-V,foreign,43495.0,4-cylinder,4.1,"GH¢ 370,041","Greater Accra, Airport",2019
2020 Hyundai Palisade,foreign,70000.0,6-cylinder,3.0,"GH¢ 596,950","Accra, Dansoman",2020
2025 DONGFENG Nissan 4X4,new,0.0,4-cylinder,4.8,"GH¢ 358,000","Greater Accra, Airport",2025
2025 DONGFENG Nissan 4X4,new,0.0,4-cylinder,4.8,"GH¢ 358,000","Greater Accra, Airport",2025
2017 Hyundai Santa Fe,foreign,60000.0,4-cylinder,3.0,"GH¢ 260,962","Greater Accra, Abelemkpe",2017
2025 DONGFENG Nissan 4X4,new,0.0,4-cylinder,4.8,"GH¢ 358,000","Greater Accra, Airport",2025
2024 Nissan Xterra,new,56000.0,4-cylinder,4.5,"GH¢ 556,150","Greater Accra, Abelemkpe",2024
2025 DONGFENG RICH,new,0.0,4-cylinder,4.8,"GH¢ 276,000","Greater Accra, Airport",2025
2015 Toyota Corolla,local,32932.0,4-cylinder,4.4,"GH¢ 170,000","Greater Accra, Airport",2015
2025 Mitsubishi L200,new,0.0,4-cylinder,4.8,"GH¢ 440,000","Greater Accra, Airport",2025
2025 SUZUKI S-presso GL,new,0.0,3-cylinder,4.8,"GH¢ 144,000","Greater Accra, Airport",2025
2014 Hyundai Santa Fe,local,57166.0,4-cylinder,3.0,"GH¢ 177,373","Greater Accra, Achimota",2014
2022 Hyundai Santa Cruz,foreign,2485.0,4-cylinder,3.0,"GH¢ 530,650","Greater Accra, Tema",2022
2025 Nissan Navara,new,0.0,4-cylinder,4.8,"GH¢ 412,650","Greater Accra, Airport",2025
2017 Hyundai Tucson,foreign,51000.0,4-cylinder,3.0,"GH¢ 270,550","Greater Accra, Abelemkpe",2017
2025 VOLKSWAGEN VIRTUS HIGHLINE,new,174605.0,4-cylinder,4.5,"GH¢ 275,100","Accra, Spintex",2025
2016 Nissan Rogue,foreign,32311.0,4-cylinder,3.0,"GH¢ 181,632","Accra, Spintex",2016
2021 Ford Explorer XLT 3.5L,local,24000.0,4-cylinder,3.0,"GH¢ 443,950","Greater Accra, Abelemkpe",2021
2023 Honda Civic,foreign,15000.0,4-cylinder,3.0,"GH¢ 387,850","Greater Accra, Abelemkpe",2023
2016 KIA Sportage,foreign,32932.0,4-cylinder,3.0,"GH¢ 214,450","Greater Accra, Abelemkpe",2016
2023 Honda Cr-v,foreign,12000.0,4-cylinder,3.0,"GH¢ 602,050","Greater Accra, Abelemkpe",2023
2018 RANGE ROVER Bespoke,foreign,21747.0,4-cylinder,3.0,"GH¢ 561,250","Greater Accra, Ablekuma",2018
2013 Toyota Sienta,foreign,37282.0,4-cylinder,3.0,"GH¢ 138,425","Greater Accra, Accra Newtown",2013
2016 Nissan Rogue,foreign,32311.0,4-cylinder,3.0,"GH¢ 183,850","Greater Accra, Abelemkpe",2016
2022 Honda Civic,foreign,37282.0,4-cylinder,3.0,"GH¢ 187,777","Greater Accra, Accra Newtown",2022
2016 Honda Accord,foreign,37282.0,4-cylinder,3.0,"GH¢ 260,605","Greater Accra, Accra Newtown",2016
2019 Toyota Highlander,foreign,59030.0,4-cylinder,3.0,"GH¢ 494,950","Greater Accra, Abelemkpe",2019
2019 Toyota Corolla,foreign,37282.0,4-cylinder,3.0,"GH¢ 147,589","Greater Accra, Accra Newtown",2019
