Car Name,Condition,Mileage,Engine Type,Rating,Price,Location,Year
2011 Toyota Land Cruiser Prado TX L,foreign,222000.0,4-cylinder,4.8,"₦ 54,115,000","Abuja, Airport Road",2011
2019 Lexus LX 570,foreign,57000.0,8-cylinder,3.0,"₦ 135,015,008","Abuja, Gwarinpa",2019
2013 Toyota Corolla Sport,foreign,2000.0,4-cylinder,3.0,"₦ 13,815,000","Lagos, Ajah",2013
2008 Toyota Highlander,foreign,2000.0,6-cylinder,3.0,"₦ 17,015,000","Lagos, Ajah",2008
2013 Toyota Sienna,foreign,75000.0,6-cylinder,3.0,"₦ 20,015,000","Abuja, Gwarinpa",2013
2011 Toyota Sienna,foreign,75000.0,6-cylinder,3.0,"₦ 16,015,000","Abuja, Gwarinpa",2011
2013 Mercedes-Benz 300,foreign,15000.0,6-cylinder,3.0,"₦ 15,015,000","Abuja, CBD",2013
2009 Toyota corolla,foreign,2485.0,4-cylinder,3.0,"₦ 10,015,000","Abuja, CBD",2009
2019 Lexus RX 350,foreign,14291.0,6-cylinder,3.0,"₦ 52,015,000","Lagos, Ipaja",2019
2014 Toyota Corolla,local,54059.0,4-cylinder,3.0,"₦ 14,015,000","Abuja, CBD",2014
2011 Toyota Corolla,foreign,102000.0,4-cylinder,3.0,"₦ 12,830,000","Abuja, Garki 2",2011
2018 Lexus GX 460,foreign,46000.0,8-cylinder,4.2,"₦ 55,115,000","Ilupeju,Lagos, Ilupeju",2018
2012 Toyota Highlander,foreign,94000.0,6-cylinder,3.0,"₦ 24,530,000","Abuja, Garki 2",2012
2013 Lexus ES 350,foreign,59030.0,6-cylinder,3.0,"₦ 22,015,000","Lagos, Ipaja",2013
2017 Mercedes-Benz C 300,foreign,69000.0,4-cylinder,3.0,"₦ 33,515,000","Abuja, Garki 2",2017
2013 Toyota Camry,foreign,85000.0,4-cylinder,3.0,"₦ 16,015,000","Abuja, Garki 2",2013
2019 Toyota Camry,foreign,99000.0,4-cylinder,3.0,"₦ 38,515,000","Abuja, Garki 2",2019
2007 Toyota Camry,local,130000.0,4-cylinder,3.0,"₦ 6,000,000","Abuja, Kubuwa Expressway",2007
2007 Toyota camry,local,46602.0,4-cylinder,3.0,"₦ 7,015,000","Lagos, Ojodu Berger",2007
2023 Lexus GX 460,foreign,10000.0,8-cylinder,3.0,"₦ 105,000,000","Lagos, Lekki",2023
2012 Toyota Venza,local,189000.0,4-cylinder,3.0,"₦ 12,015,000","Abuja, Kubwa Express",2012
2011 Lexus RX,foreign,212000.0,6-cylinder,3.0,"₦ 23,015,000","Lagos, Surulere",2011
2007 Honda CR-V,foreign,81000.0,4-cylinder,3.0,"₦ 11,230,000","Abuja, Garki 2",2007
2019 Mercedes-Benz G63 AMG,local,20000.0,8-cylinder,3.0,"₦ 310,030,016","Abuja, Garki 2",2019
2017 Mercedes-Benz GLS 450,local,10000.0,6-cylinder,3.0,"₦ 38,015,000","Lagos, Ajah",2017
2014 Toyota Venza,foreign,27000.0,4-cylinder,3.0,"₦ 24,015,000","Abuja, CBD",2014
2015 RANGE ROVER HSE LR4,foreign,5000.0,8-cylinder,3.0,"₦ 49,015,000","Lagos, Ajah",2015
2015 Lexus GX 460,foreign,10000.0,6-cylinder,3.0,"₦ 47,015,000","Lagos, Ikate, Lekki",2015
2018 Nissan Rogue,foreign,63379.0,4-cylinder,3.0,"₦ 22,000,000","Lagos, Abule Egba",2018
2022 Toyota Tundra,foreign,27000.0,8-cylinder,3.0,"₦ 130,015,000","Lagos, Ikate, Lekki",2022
2013 Lexus ES 350,foreign,117000.0,6-cylinder,3.0,"₦ 23,015,000","Abuja, Kubuwa Expressway",2013
2016 Lexus RX 350L,foreign,60000.0,6-cylinder,3.0,"₦ 49,015,000","Lagos, Lekki",2016
2015 BMW 320i,foreign,41010.0,4-cylinder,3.0,"₦ 27,015,000","Abuja, Gwarinpa",2015
"2013 Hyundai SONATA 2,0L BVA / Cuir Luxury",foreign,60000.0,5-cylinder,3.0,"₦ 13,015,000","Lagos, Lekki",2013
2004 Lexus RX 330,foreign,63379.0,6-cylinder,3.0,"₦ 13,500,000","Lagos, Abule Egba",2004
2016 Mercedes-Benz C 300,foreign,60000.0,6-cylinder,3.0,"₦ 34,015,000","Lagos, Lekki",2016
2019 Toyota Avalon,foreign,93000.0,6-cylinder,3.0,"₦ 49,515,000","Lagos, Ikeja",2019
2017 Mercedes-Benz C 43 AMG,foreign,115000.0,6-cylinder,3.0,"₦ 55,515,000","Abuja, Kubuwa Expressway",2017
2010 Lexus GX 460,foreign,151000.0,6-cylinder,3.0,"₦ 43,000,000","Lagos, Ikeja",2010
2015 Audi A8,foreign,37903.0,6-cylinder,3.0,"₦ 37,515,000","Abuja, Gwarinpa",2015
2009 Toyota Highlander,foreign,2000.0,6-cylinder,3.0,"₦ 16,015,000","Lagos, Surulere",2009
2018 Toyota Camry,foreign,51000.0,4-cylinder,3.0,"₦ 40,015,000","Abuja, Gwarinpa",2018
2007 Toyota Camry,local,116000.0,4-cylinder,3.9,"₦ 8,000,000","Lagos, Ago",2007
2010 Acura ZDX,local,101283.0,6-cylinder,4.6,"₦ 11,715,000","Lagos, Festac",2010
2013 Mercedes-Benz C 300,foreign,139000.0,6-cylinder,3.0,"₦ 17,515,000","Abuja, Gwarinpa",2013
2006 Toyota Sienna,local,115000.0,6-cylinder,3.0,"₦ 6,530,000","Lagos, Ikeja",2006
2012 Hyundai Elantra,foreign,81000.0,4-cylinder,3.0,"₦ 14,015,000","Abuja, Gwarinpa",2012
2004 Toyota Matrix,local,100000.0,4-cylinder,3.0,"₦ 3,730,000","Lagos, Ikeja",2004
2012 Lexus ES 350,local,100000.0,6-cylinder,3.0,"₦ 13,015,000","Lagos, Ikeja",2012
2015 Hyundai Elantra,foreign,75000.0,4-cylinder,3.0,"₦ 15,015,000","Abuja, Gwarinpa",2015
2018 Mercedes-Benz GLS 450,local,97555.0,8-cylinder,3.0,"₦ 70,015,000","Lagos, Ikeja",2018
2007 Toyota Corolla,foreign,110000.0,4-cylinder,4.6,"₦ 9,500,000","Lagos, Ago",2007
2017 Toyota Highlander,foreign,57166.0,6-cylinder,3.0,"₦ 33,515,000","Abuja, Garki 2",2017
2015 Lexus RX 350,foreign,57000.0,6-cylinder,3.0,"₦ 28,015,000","Lagos, Lekki",2015
2013 Mercedes-Benz GLK 350,foreign,144000.0,6-cylinder,3.0,"₦ 19,015,000","Abuja, Gwarinpa",2013
2013 Mercedes-Benz GL 450,local,168000.0,4-cylinder,3.0,"₦ 19,015,000","Abuja, Gwarinpa",2013
2015 Hyundai Sonata,foreign,57000.0,4-cylinder,3.0,"₦ 16,515,000","Lagos, Ikoyi",2015
2015 Hyundai Sonata,foreign,57000.0,4-cylinder,3.0,"₦ 15,515,000","Lagos, Ikoyi",2015
2019 Land Rover Range Rover,foreign,84000.0,8-cylinder,3.0,"₦ 63,515,000","Lagos, Lekki",2019
2008 Lexus ES 350,foreign,9941.0,6-cylinder,3.0,"₦ 12,015,000","Lagos, Berger Market",2008
